S1,S2,SCORE
A person is strongly whisking eggs in a bowl,One woman is beating two eggs in the bowl and using a whisk made of wire,4.2
Two dogs are playing by a tree,There is no dog leaping in the air,2.7
The doctor is not helping the patient,The doctors are reviving a man,3.1
Three children are running up hill,A pet dog is standing on the bank and is looking at another brown dog in the pond,1
Two men are not taking a break from construction,Two construction workers are sitting up on the side of a building,3.5
Two men are talking,Two men are playing guitar,2.3
Nobody is rinsing a steak with water,A person is rinsing a steak with water,4
A girl is brushing her hair,A girl is styling her hair,4.1
A girl dressed in purple and blue is walking beside her bike at night,A woman in a top which is purple is walking a bicycle between two stone columns,3.1
A red dog is jumping and catching a tennis ball in its mouth,A tan dog is jumping up and catching a tennis ball,3.9
There are no little boys playing outside with a soccer ball on the green grass,Two children are playing soccer in the park,3.2
The man is slicing vegetables,There is no woman slicing a potato,2.5
A man is shooting with a gun,A woman is rowing a boat,1
A married couple is walking down the aisle,The bride and the groom are leaving after the wedding,3.4
There is no bmx biker jumping dirt ramps in front of a body of water,Two bmx bikers are jumping dirt ramps in front of a body of water,4.4
The kitten is eagerly drinking some milk from the bowl,One small child is filling the cup with water,1.4
The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,4.8
A child is making a snow ball,A kid in orange is playing outside with a snowball,3.7
The man is playing a game on a lawn,The man is playing a game on the grass,4.2
A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,2.2
A practicing jumper is tossing a person's snowboard into the air,The snowboarder is leaping over white snow,2.8
A woman is preparing an egg in a skillet,There is no woman preparing an egg in a skillet,3.6
A skier in black is catching a tiny bit of air,A skier dressed in black is catching a tiny bit of air,4.9
The back of a small black dog is being sniffed by the brown dog,The brown dog is sniffing the back of a small black dog,4.9
A man is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,2.5
A man is playing flute,There is no man playing flute,3.5
A young woman with Indian clothing and henna on her hand is going through paperwork,A woman is wearing a colorful shirt and a lot of jewelry,2.4
People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,3.2
A woman is tapping her fingers on a table,A woman is tapping her fingers nervously,4.4
A girl with red hair and red eyebrows is in midspeech,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",3.4
Two women are wearing bikinis and are walking on the sand,Two women are wearing bikinis on the sandy beach,4.3
Someone is cleaning an animal,Someone is dirtying an animal,3.4
A man is taking a picture of a drawing,A man is drawing a picture,2.865
A kitten is drinking fresh milk,There is no kitten drinking milk,3.7
The herd of caribous is crossing a road,A herd of deer is stopping at the street,2.8
A woman is boiling shrimps,There is no woman combing her hair,1
A boy in a band is playing the flute,A girl in a uniform is playing the flute with a marching band,3.5
A woman is beating two eggs in a bowl and using a whisk made of wire,A person is strongly whisking eggs in a bowl,4.6
A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,4.3
A man is eating a pizza,Some food is being eaten by a man,4.4
A grey dog is bouncing a tennis ball on its head in a grass field,A dog with a blue collar is playing with the ball outside,3.2
A black cat is swinging on a fan,A cat is swinging on a fan,4.5
A cat is eating some corn,The cat is eating some corn,5
A family is posing by the mantel and the Christmas tree,A happy family is posing by the fireplace,3.4
The rider is biking in the rain and wearing a red jacket,A cyclist is biking in a snowy forest at night,3
A boy is playing an instrument,A kid is playing guitar,4
A woman is amalgamating eggs,A woman is mixing eggs,4.5
A tiger cub is playing with a ball,A baby is playing with a doll,1.4
A bike is being ridden by a person,A bike rider in a black and red uniform is standing on a dirt bike,3.4
A young female is dancing,A young girl is dancing,4.7
A man is bringing up the rear of the race,A few men in a competition are running outside,3.7
A woman is cutting onions,A woman is not cutting tofu,3.2
"A woman is standing at dusk on an almost pristine, snowy road, that is lit only by headlights","A man is standing at dusk on an almost pristine, snowy road, that is lit only by headlights",3.7
The women are not dancing outside,The women are dancing outside,3.3
The person isn't dicing up an orange pepper,A cook is slicing some bell peppers,3.5
The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,2.7
A man is jumping into a pool,A man is diving into a pool,4.8
A man is participating in a bmx race,There is no man in a red uniform making a jump in a dirt bike race,2.8
The man with the dyed purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.4
The piano is being played by a man,A woman is playing the violin,1.9
A potato is being peeled by a woman,A woman is peeling a potato,5
A soccer player is being tackled by his opponent,Rugby players are tackling each other,1.9
A man is riding a horse,There is no woman riding a horse,4.3
The person is peeling an onion,A person is peeling an onion,4.9
The man in the purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.3
A man is rapidly chopping some mushrooms with a knife,A man is quickly chopping some mushrooms with a knife,4.9
The man is eating cereal,There is no man eating a bowl of cereal,3.7
A brown dog is staring attentively at a brown and white dog,The little dog is grabbing the bedroom slipper with its mouth funnily,2.5
A man is parking a motorbike,A man is riding a motorbike,3.3
A boy in his teens is talking to a girl with an internet camera,A boy in his teens is talking to a girl with a webcam,4.7
